prev,dens,urb,rur,y
2983,1102,11758016,92341436,3061
3061,1102,11758016,92341436,3296
3296,1102,11758016,92341436,3376
3376,1102,11758016,92341436,3636
3636,1102,11758016,92341436,3815
3815,1102,11758016,92341436,3926
3926,1102,11758016,92341436,4155
4155,1102,11758016,92341436,4390
4390,1102,11758016,92341436,4493
4493,1102,11758016,92341436,4596
4596,1102,11758016,92341436,4915
4915,1102,11758016,92341436,5088
5088,1102,11758016,92341436,5202
5202,1102,11758016,92341436,5459
5459,1102,11758016,92341436,5710
5710,1102,11758016,92341436,5983
5983,1102,11758016,92341436,6103
6103,1102,11758016,92341436,6290
6290,1102,11758016,92341436,6470
6470,1102,11758016,92341436,6650
6650,1102,11758016,92341436,6778
6778,1102,11758016,92341436,6942
6942,1102,11758016,92341436,7025
7025,1102,11758016,92341436,7181
7181,1102,11758016,92341436,7533
7533,1102,11758016,92341436,7612
7612,1102,11758016,92341436,7825
7825,1102,11758016,92341436,8153
8153,1102,11758016,92341436,8209
8209,1102,11758016,92341436,8473
8473,1102,11758016,92341436,8716
8716,1102,11758016,92341436,8931
8931,1102,11758016,92341436,9212
9212,1102,11758016,92341436,9640
9640,1102,11758016,92341436,10043
10043,1102,11758016,92341436,10249
10249,1102,11758016,92341436,10471
10471,1102,11758016,92341436,10954
10954,1102,11758016,92341436,11700
11700,1102,11758016,92341436,11876
11876,1102,11758016,92341436,12125
12125,1102,11758016,92341436,12570
12570,1102,11758016,92341436,13189
13189,1102,11758016,92341436,13944
13944,1102,11758016,92341436,14575
14575,1102,11758016,92341436,15373
15373,1102,11758016,92341436,16642
16642,1102,11758016,92341436,17959
17959,1102,11758016,92341436,19284
19284,1102,11758016,92341436,20612
20612,1102,11758016,92341436,21764
21764,1102,11758016,92341436,23589
23589,1102,11758016,92341436,25136
25136,1102,11758016,92341436,26569
26569,1102,11758016,92341436,27646
27646,1102,11758016,92341436,28952
28952,1102,11758016,92341436,30369
30369,1102,11758016,92341436,31980
31980,1102,11758016,92341436,33926
33926,1102,11758016,92341436,36604
36604,1102,11758016,92341436,39176
39176,1102,11758016,92341436,41244
41244,1102,11758016,92341436,43843
43843,1102,11758016,92341436,46080
46080,1102,11758016,92341436,48477
48477,1102,11758016,92341436,51233
51233,1102,11758016,92341436,54240
54240,1102,11758016,92341436,57024
57024,1102,11758016,92341436,59328
59328,1102,11758016,92341436,61788
61788,1102,11758016,92341436,64770
64770,1102,11758016,92341436,67788
67788,1102,11758016,92341436,71304
71304,1102,11758016,92341436,75294
75294,1102,11758016,92341436,79451
79451,1102,11758016,92341436,82550
82550,1102,11758016,92341436,86413
86413,1102,11758016,92341436,90321
90321,1102,11758016,92341436,94193
94193,1102,11758016,92341436,98008
98008,1102,11758016,92341436,101551
101551,1102,11758016,92341436,103844
103844,1102,11758016,92341436,106307
106307,1102,11758016,92341436,109498
109498,1102,11758016,92341436,112437
112437,1102,11758016,92341436,114941
114941,1102,11758016,92341436,117413
117413,1102,11758016,92341436,119529
119529,1102,11758016,92341436,121947
121947,1102,11758016,92341436,123198
123198,1102,11758016,92341436,124536
124536,1102,11758016,92341436,126714
126714,1102,11758016,92341436,128780
128780,1102,11758016,92341436,131057
131057,1102,11758016,92341436,133003
